"","CVE_ENT","CVE_MUN","NOM_MUN","Mx_Manglar","Mx_Mangl_1","Has_mun","Has_mangla"
"1286","30","155","Tantoyuca",0,0,130230.488,0
"1287","30","158","Tecolutla",30154344.2993753,5.67817820027585,53105.667,3015.434
"1288","30","159","Tehuipango",0,0,8792.628,0
"1289","30","161","Tempoal",0,0,115239.289,0
"1290","30","163","TenochtitlÃ¡n",0,0,8680.459,0
"1291","30","164","Teocelo",0,0,6080.419,0
"1292","30","165","Tepatlaxco",0,0,6019.301,0
"1293","30","167","Tepetzintla",0,0,22732.488,0
"1294","30","168","Tequila",0,0,10000.083,0
"1295","30","169","JosÃ© Azueta",0,0,53548.601,0
"1296","30","173","Tezonapa",0,0,52250.868,0
"1297","30","175","TihuatlÃ¡n",0,0,71839.65,0
"1298","30","176","Tlacojalpan",0,0,10272.178,0
"1299","30","177","Tlacolulan",0,0,13345.784,0
"1300","30","178","Tlacotalpan",5590850.74742986,0.966379153973748,57853.594,559.085
