Entidad,Clave_Entidad,Municipio,Clave_Municipio, Cuenta_Atlas ,Anio_Atlas,Cuenta_PPC,Cuenta_UnidadPC
Oaxaca,20,San José Chiltepec,166,1,2011,0,0
Oaxaca,20,San Juan Bautista Tuxtepec,184,1,2011,0,0
Oaxaca,20,San Juan Quiotepec,214,1,2011,0,1
Oaxaca,20,San Lorenzo Cacaotepec,227,1,2015,0,0
Oaxaca,20,San Pablo Etla,293,1,2014,0,0
Oaxaca,20, San Pedro Mixtepec,318,1,2011,0,1
Oaxaca,20,San Pedro Pochutla,324,1,2012,0,1
Oaxaca,20,San Sebastián Tutla,350,1,2013,0,0
Oaxaca,20,Santa Cruz Xoxocotlán,385,1,2011,0,1
Oaxaca,20,Santa Lucía del Camino,390,1,2015,0,1
Oaxaca,20,Santa María Atzompa,399,1,2004,0,1
Oaxaca,20,Santa María Colotepec,401,1,2012,0,0
Oaxaca,20,Santa María del Tule,409,1,2013,0,1
Oaxaca,20,Santa María Huatulco,413,1,2012,1,1
Oaxaca,20,Santa María Petapa,427,1,2013,0,0
Oaxaca,20,Santa María Tlahuitoltepec,437,1,2011,0,0
Oaxaca,20,Santa María Xadani,441,1,2014,0,1
Oaxaca,20,Santiago Pinotepa Nacional,482,1,2012,0,1
Oaxaca,20,Santo Domingo Tehuantepec,515,1,2004,1,1
Oaxaca,20,Santo Domingo Tomaltepec,519,1,2013,0,0
Oaxaca,20,Silacayoápam,537,1,2012,0,0
Oaxaca,20,Tlalixtac de Cabrera,553,1,2014,0,1
Quintana Roo,23,Benito Juárez,005,1,2013,1,1
Quintana Roo,23,Cozumel,001,1,2011,1,1
Quintana Roo,23,Felipe Carrillo Puerto,002,1,2006,1,1
Quintana Roo,23, Isla Mujeres,003,1,2011,0,0
Quintana Roo,23,Othón P. Blanco,004,1,2011,0,0
Quintana Roo,23,Puerto Morelos,011,1,2020,1,1
Quintana Roo,23,Solidaridad,008,1,2021,1,1
Quintana Roo,23,Tulum,009,1,2015,1,1
Tlaxcala,29,Apizaco,005,1,2011,1,1
Tlaxcala,29,Atlangatepec,003,1,2016,1,1
Tlaxcala,29,Huamantla,013,1,2016,0,1
Tlaxcala,29,Natívitas,023,1,2015,0,1
Tlaxcala,29, Papalotla de Xicohténcatl,041,1,2015,0,0
Tlaxcala,29, San Pablo del Monte,025,1,2015,0,0
Tlaxcala,29,Sanctórum de Lázaro Cárdenas,020,1,2011,0,1
Tlaxcala,29,Tlaxcala,033,1,2018,1,1
Tlaxcala,29,Xicohtzinco,042,1,2014,0,1
Tlaxcala,29,Zacatelco,044,1,2018,0,0
