CVEGEO,UE_ALOJAB_TOT,UE_ALOJAB_EMPEST,UE_AGROP_TOT,UE_AGROP_EMPEST
110170082,5,10,0,0
110170095,24,48,0,0
110170099,12,24,0,0
110170102,3,6,0,0
110170122,3,6,0,0
110170137,4,8,0,0
110170138,11,22,0,0
110170161,7,14,0,0
110170163,3,6,0,0
110170165,2,4,0,0
110170167,3,6,0,0
110170176,3,6,0,0
110170177,7,14,0,0
110170181,6,12,0,0
110170184,4,8,0,0
110170226,3,6,0,0
110170851,2,33,0,0
110180001,174,364,1,6
110180030,24,48,0,0
110180035,38,76,0,0
110190001,98,208,0,0
110190068,12,24,0,0
110200001,9680,29798,7,41
110200261,2,4,0,0
110200317,16,36,0,0
110200334,1,31,0,0
110200340,2,4,0,0
110200358,12,24,0,0
110200401,39,86,0,0
110200429,4,8,0,0
110200435,6,12,0,0
110200439,11,22,0,0
110200451,18,36,0,0
110200452,4,8,0,0
